date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:28:26	56861/56861	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:52:28%20GMT	http://azim.commonsupport.com/Appway/testimonial-2.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/testimonial-2.html	(from http://azim.commonsupport.com/Appway/)
04:28:28	44060/44060	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:44:34%20GMT	http://azim.commonsupport.com/Appway/about.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/about.html	(from http://azim.commonsupport.com/Appway/)
04:28:28	48021/48021	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:46:48%20GMT	http://azim.commonsupport.com/Appway/faq.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/faq.html	(from http://azim.commonsupport.com/Appway/)
04:28:30	36567/36567	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:46:44%20GMT	http://azim.commonsupport.com/Appway/error.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/error.html	(from http://azim.commonsupport.com/Appway/)
04:28:31	42546/42546	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:49:22%20GMT	http://azim.commonsupport.com/Appway/portfolio.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/portfolio.html	(from http://azim.commonsupport.com/Appway/)
04:28:32	44960/44960	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:49:08%20GMT	http://azim.commonsupport.com/Appway/portfolio-2.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/portfolio-2.html	(from http://azim.commonsupport.com/Appway/)
04:28:33	47376/47376	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:49:12%20GMT	http://azim.commonsupport.com/Appway/portfolio-3.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/portfolio-3.html	(from http://azim.commonsupport.com/Appway/)
04:28:34	42245/42245	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:49:16%20GMT	http://azim.commonsupport.com/Appway/portfolio-details.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/portfolio-details.html	(from http://azim.commonsupport.com/Appway/)
04:28:35	37014/37014	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:48:46%20GMT	http://azim.commonsupport.com/Appway/optimization-application.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/optimization-application.html	(from http://azim.commonsupport.com/Appway/)
04:28:36	36471/36471	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:45:58%20GMT	http://azim.commonsupport.com/Appway/device-friendly.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/device-friendly.html	(from http://azim.commonsupport.com/Appway/)
04:28:37	36019/36019	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:51:34%20GMT	http://azim.commonsupport.com/Appway/software-product.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/software-product.html	(from http://azim.commonsupport.com/Appway/)
04:28:38	35788/35788	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:44:58%20GMT	http://azim.commonsupport.com/Appway/betterlook-layout.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/betterlook-layout.html	(from http://azim.commonsupport.com/Appway/)
04:28:39	38680/38680	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:53:02%20GMT	http://azim.commonsupport.com/Appway/whereyou-layout.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/whereyou-layout.html	(from http://azim.commonsupport.com/Appway/)
04:28:40	43267/43267	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:49:04%20GMT	http://azim.commonsupport.com/Appway/popular-causes.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/popular-causes.html	(from http://azim.commonsupport.com/Appway/)
04:28:41	39676/39676	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:52:58%20GMT	http://azim.commonsupport.com/Appway/wework-layout.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/wework-layout.html	(from http://azim.commonsupport.com/Appway/)
04:28:42	36137/36137	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:45:26%20GMT	http://azim.commonsupport.com/Appway/campaing-layout.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/campaing-layout.html	(from http://azim.commonsupport.com/Appway/)
04:28:43	43261/43261	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:46:12%20GMT	http://azim.commonsupport.com/Appway/donate-layout.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/donate-layout.html	(from http://azim.commonsupport.com/Appway/)
04:28:44	37253/37253	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:48:12%20GMT	http://azim.commonsupport.com/Appway/make-difference.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/make-difference.html	(from http://azim.commonsupport.com/Appway/)
04:28:45	36423/36423	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:51:48%20GMT	http://azim.commonsupport.com/Appway/solve-problem.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/solve-problem.html	(from http://azim.commonsupport.com/Appway/)
04:28:46	36299/36299	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:48:22%20GMT	http://azim.commonsupport.com/Appway/marketing-benefits.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/marketing-benefits.html	(from http://azim.commonsupport.com/Appway/)
04:28:47	35722/35722	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:51:56%20GMT	http://azim.commonsupport.com/Appway/streamline-layout.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/streamline-layout.html	(from http://azim.commonsupport.com/Appway/)
04:28:48	37948/37948	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202020%2017:49:30%20GMT	http://azim.commonsupport.com/Appway/powerful-management.html	C:/Meus%20Sites/Adev/azim.commonsupport.com/Appway/powerful-management.html	(from http://azim.commonsupport.com/Appway/)
